Header_ID,Project_Name,Bay_Segment,Lead_Entity,Completion_Date,TP_Reduction_lbs_yr,TN_Reduction_lbs_yr,TSS_Reduction_lbs_yr
923,Seminole Bypass Canal Regional Stormwater Treatment Facility,Boca Ciega Bay,Pinellas County,2012,,18339,
924,Alum Treatment of Priority Subbasins Discharging to Lake Seminole,Boca Ciega Bay,Pinellas County,2012,,,
925,Lake Tarpon Water Quality Area 6 Alum Treatment,Old Tampa Bay,Pinellas County,2012,,5055.6,
928,Braden River Park of Commerce,Lower Tampa Bay,Manatee County,2007,,508,
930,Pine Island,Manatee River,Manatee County,2003,,120,
932,Manatee River Headwaters Wetlands Restoration,Manatee River,Manatee County,2005,,2768,
933,Mining Mitigation Parcel,Manatee River,Manatee County,2006,,7207,
934,Hidden Harbour,Manatee River,Manatee County,2004,,1035,
935,Conservation Easement,Lower Tampa Bay,Manatee County,2009,,584,
936,Stormwater Pond,Lower Tampa Bay,Manatee County,2005,27.8,110.6,3755
937,Moody Branch Land Acquisition,Middle Tampa Bay,Manatee County,2003,,2695,
938,Gulfstream Pipeline Mitigation,Middle Tampa Bay,Manatee County,2008,,166,
939,Neal Preserve,Lower Tampa Bay,Manatee County,2005,,409,
941,Future Land Acquisition at Duette Park,Manatee River,Manatee County,2007,,1548,
942,Conservatory,Manatee River,Manatee County,2004,,180,
943,Watershed Overlay Development,Terra Ceia Bay,Manatee County,2005,,1119,
944,Manatee County Island Trolley Program,Lower Tampa Bay,Manatee County,2002,,,
947,Spoil Island Restoration,Lower Tampa Bay,Manatee County,2002,,,
948,Peanut Creek Restoration,Lower Tampa Bay,Manatee County,2002,,,
949,Seagrass Mitigation,Lower Tampa Bay,Manatee County,2002,,,
952,Grassy Point Project,Lower Tampa Bay,Manatee County,2002,,115.5,
953,Seagrass Protection as mitigation,Lower Tampa Bay,Manatee County,2004,,,
957,Wares Creek Dredging,Manatee River,Manatee County,2012,,,
958,Regatta Point Clean Marina,Manatee River,Manatee County,2001,,,
959,Perico Harbor Clean Marina,Lower Tampa Bay,Manatee County,2001,,,
964,Jeff's Cowpen Creek Dredge and Silt Box Project,Manatee River,Manatee County,2003,,,
965,Flow Reductions within Select Watersheds,Manatee River,Manatee County,2005,,,
967,Septic Tank Setback Ordinance,Lower Tampa Bay,Manatee County,2004,,,
968,Seagrass Protection Ordinance 04-72,Lower Tampa Bay,Manatee County,2004,,,
969,Irrigation Requirements for Developments,All Segments,Manatee County,1999,,,
975,Best Practices for Landscape Bed Cultivation,Hillsborough Bay,City of Tampa,2004,,,
980,Marine Gang Educational Performance Troupe,Boca Ciega Bay,TBRPC,2005,,,
981,Stormdrain Markers,Boca Ciega Bay,TBRPC,2004,,,
982,Tampa Bay Repair Kit Printing and Distribution,All Segments,TBRPC,2005,,,
983,This Old Pond Video,All Segments,TBRPC,2000,,,
984,Litter Bag Campaign,All Segments,TBRPC,2001,,,
985,Citizens Forestry Manual,Boca Ciega Bay,TBRPC,2004,,,
986,Coloring Book,Boca Ciega Bay,TBRPC,2004,,,
987,Discovery Garden,Hillsborough Bay,TBRPC,2004,,,
988,Stormwater Education Campaign,Boca Ciega Bay,TBRPC,2001,,,
989,Stormwater Diversion Project,Old Tampa Bay,TBRPC,2005,,,
990,Hillsborough River Campaign,Hillsborough Bay,TBRPC,2004,,,
991,Hillsborough River Cleanup,Hillsborough Bay,TBRPC,2005,,,
992,Hillsborough River Greenways Task Force-HRGTF,Hillsborough Bay,TBRPC,2005,,,
993,City of Temple Terrace River Fest,Hillsborough Bay,TBRPC,2005,,,
996,IMC Agrico Company Termination of Ammonia in Flot Plants - Little Manatee River,Middle Tampa Bay,Mosaic,1995,,21000,
997,Bartow Phosphate Complex -  Enhanced Process Water Evaporation -  Nutrient Load Prevention -Project-2005,Hillsborough Bay,Mosaic,2005,,3520,0
998,East Gate Drainage Improvements,Old Tampa Bay,SWFWMD,2005,,518,
1000,Hillgrove and Stearns Stormwater Facilities -  Phase I-Alafia River,Hillsborough Bay,Hillsborough County,2011,535.9,1916.1,44502
1002,I-4 from I-75 to McIntosh Road - Baker Creek Mitigation,Hillsborough Bay,FDOT,1999,,,
1003,Bartow Phosphate Complex -  Enhanced Process Water Evatoration -  Nutrient Load Prevention Project,Hillsborough Bay,Mosaic,2006,,3520,0
1006,Tangerine Greenway Project,Boca Ciega Bay,City of Gulfport,2010,,460,
1007,Clam Bayou Stormwater Treatment North,Boca Ciega Bay,SWFWMD,2012,,645.3,
1008,Clam Bayou Stormwater Treatment South,Boca Ciega Bay,SWFWMD,2012,,265.2,
1010,Waterfront Initiatives - Diamond Habitat Awards,Manatee River,Not Listed,2005,,,
1011,Five-Year Stormwater Capital Improvement Program,Old Tampa Bay,City of Tampa,2010,,,
1012,Cabbage Patch Point,Old Tampa Bay,City of Largo,2007,,,
1013,Clam Bayou Stormwater Treatment North,Boca Ciega Bay,SWFWMD,2012,,140,
1014,Willow/Gulf Dr./Pine Ave.,Manatee River,City of Anna Maria,2007,,,
1015,Buffalo Canal Watershed Management Program,Terra Ceia Bay,Manatee County,2008,,,
1016,Gamble Creek Watershed Management Program,Manatee River,Manatee County,2008,,,
1018,Hurley Tailwater Pond,Hillsborough Bay,Hillsborough County,2006,245.8,664.3,4568
1019,Lake Meade Water Quality Improvement,Hillsborough Bay,Hillsborough County,2011,135.4,417.9,7908
1021,Fairwood Forest Channel Improvements,Old Tampa Bay,City of Clearwater,2009,,,
1022,Channel A at the Long Center,Old Tampa Bay,City of Clearwater,2006,,,
1023,Bayview Park,Old Tampa Bay,City of Clearwater,2008,,,
1024,Arcturas Pond Outfall,Old Tampa Bay,City of Clearwater,2001,,,
1031,Unpaved Alleys Sediment and Erosion Control,Old Tampa Bay,City of Largo,2010,,,
1032,Starkey Road Sewer Extension Project,Boca Ciega Bay,City of Largo,2004,,,
1033,58th Street North Sewer Extension Project,Old Tampa Bay,City of Largo,2006,,,
1036,Citywide Drainage Improvement Projects,Old Tampa Bay,City of Largo,2001,,,
1041,Channel One Drainage Improvements,Boca Ciega Bay,City of Largo,2006,,,
1043,Downtown Drainage Ponds,Boca Ciega Bay,City of Largo,2000,,,
1044,Storm Drain Filter Inserts,Boca Ciega Bay,City of Largo,2006,,,
1046,McKay Creek Drainage Improvements,Boca Ciega Bay,City of Largo,2007,,,
1048,Valencia Boulevard Drainage Improvements,Boca Ciega Bay,City of Largo,2003,,,
1051,Alcove Subdivision Creek Restoration,Old Tampa Bay,City of Largo,2013,,,
1052,Long Branch Creek Drainage Basin Improvements,Old Tampa Bay,City of Largo,2009,,,
1053,Outfall from SR 580 to Sweetwater Creek Canal "C" Suntree baffle box retrofit,Old Tampa Bay,FDOT,2005,1.6,34,596
1054,North Dale Mabry Highway Stormwater Retrofit & Wetland Restoration,Old Tampa Bay,FDOT,2012,,900,
1063,City of Plant City -  Existing Reuse by Reclaimed Water Irrigation,Hillsborough Bay,City of Plant City,2007,161.2,1257.1,0
1064,City of Plant City -  Reclaimed Water Irrigation at City Parks,Hillsborough Bay,City of Plant City,2009,27.6,244.2,0
1065,City of Plant City proposed reuse by reclaimed water irrigation at Walden Lake Golf course,Hillsborough Bay,City of Plant City,2012,205.2,1600.2,
1066,Manatee Plant Cooling Pond Seepage Return Project,Middle Tampa Bay,Florida Power & Light,1994,,12951.2,
1067,Tampa Bay Regional Surface Water Treatment Plant Expansion,Hillsborough Bay,Tampa Bay Water,2008,,61293,
1069,Tampa Bay Water Regional Surface Water Treatment Plant,Hillsborough Bay,Tampa Bay Water,2003,,151760,
1078,Tampa Bay Regional Surface Water Treatment Plant Expansion,Hillsborough Bay,Tampa Bay Water,2008,,78456,
1080,Facility Improvements,Hillsborough Bay,Eastern Terminals,2008,,3000,
1083,Robles Park Water Quality and Natural Systems Improvement,Hillsborough Bay,SWFWMD,2012,,,
1160,Creative Drive Outfall Project,Hillsborough Bay,Polk County,2006,,,
1165,BRASWA,Manatee River,Manatee County,2012,,,
1182,Agricultural BMPs,Hillsborough Bay,FDEP/FDACS,2012,,,
1184,Agricultural BMPs,Hillsborough Bay,FDEP/FDACS,2012,,,
1186,New River Bacteria Source Assessment,Hillsborough Bay,Pasco County,2011,,,
1204,Rivergarden Park Sediment Traps,Hillsborough Bay,City of Tampa,2007,,1.7,
1205,Westshore Ditch Bottom Sumps,Old Tampa Bay,City of Tampa,2004,18.9,140,3092
1206,Sediment Trap: 30th and Corrine,Hillsborough Bay,City of Tampa,1998,,4.4,
1207,Sediment Trap: 46th and Riverhills,Hillsborough Bay,City of Tampa,2008,,2.2,
1208,Sediment Trap: Spring Lake,Old Tampa Bay,City of Tampa,2005,,4.6,
1209,Sediment Trap: Epps Park,Hillsborough Bay,City of Tampa,2003,,2.5,
1210,Sediment Trap: North Street Outfall,Hillsborough Bay,City of Tampa,2003,,3.2,
1211,Sediment Trap: Neptune Way Canal,Old Tampa Bay,City of Tampa,2003,,2.7,
1212,Sediment Trap: Lake Kipling Project #1,Old Tampa Bay,City of Tampa,2005,,10.4,
1213,Sediment Trap: Lake Roberta Downstream Defender unit,Hillsborough Bay,City of Tampa,2005,,5.1,
1214,Sediment Trap: Marjorie Park Marina,Hillsborough Bay,City of Tampa,2005,,,
1215,Sediment Trap: West Tampa,Hillsborough Bay,City of Tampa,2005,,1.5,
1216,Sediment Trap: Columbus at Riverside S,Hillsborough Bay,City of Tampa,2007,,,
1217,Sediment Trap NSBB: N Park Circle,Hillsborough Bay,City of Tampa,2009,0.5,3.7,82
1219,Urban Lake Rescue -  Lake Roberta,Hillsborough Bay,City of Tampa,2010,4.2,31.1,687
1220,Urban Lake Rescue -  Lake Kipling,Old Tampa Bay,City of Tampa,2010,,,0
1221,W Palmetto St Stormwater Improvements,Hillsborough Bay,City of Tampa,2011,0.8,4.3,61
1222,47th & Frierson Pond Project,Hillsborough Bay,City of Tampa,2011,1.4,7.4,339
1223,North Tampa Closed Basins - Phase I,Hillsborough Bay,City of Tampa,2012,3,10,324
1225,Alafia River Cooridor - North Prong,Hillsborough Bay,Hillsborough County,2006,,,
1227,East Lake Outfall Water Quality Improvement Retrofit,Hillsborough Bay,SWFWMD,2000,,,
1228,CSXT Rockport Terminal Non-Contact Storm Water Mgmt,Hillsborough Bay,CSX Transportation,2011,,,
1235,Plant repowering,Old Tampa Bay,Progress Energy Inc.,2009,,15900,0
1241,University Town Center LID Swales,Manatee River,Sarasota County,2010,4.4,20.6,
1242,University Town Center LID - Pervious Pavers,Manatee River,Sarasota County,2010,,,
1245,University Parkway - Swales,Manatee River,Sarasota County,2000,4.4,20.6,
1246,Benderson Park Rowing Facility,Manatee River,Sarasota County,2008,2632.2,9225.5,783620
1249,Lakewood Ranch Commerce Park SW Pond,Manatee River,Sarasota County,1990,194.7,682.3,57959
1251,Jean Park STA,Hillsborough Bay,Hillsborough County,2002,8.8,30.1,1606
1256,Perico Preserve,Lower Tampa Bay,Manatee County,2007,,,
1258,29th S/N Nutrient Seperating Baffle Box,Middle Tampa Bay,City of St. Petersburg,2010,13.4,105.8,4019
1259,27th A/N Nutrient Removal Baffle Box,Boca Ciega Bay,City of St. Petersburg,2011,8.5,63,1391
1261,Bennett Park,Manatee River,Manatee County,2012,,,
1265,Lealman Area Drainage Improvements,Boca Ciega Bay,Pinellas County,2012,,,
1266,Bear Creek Channel Improvements Phase II,Boca Ciega Bay,Pinellas County,2012,,,
1267,Bear Creek Channel Improvements Phase III,Boca Ciega Bay,Pinellas County,2012,,,
1268,Allen's Creek Erosion Control,Old Tampa Bay,Pinellas County,2010,,,
1271,Silver Lake Sediment Inactivation,Boca Ciega Bay,Pinellas County,2014,,,
1273,Alligator Creek Channel B Phase III,Old Tampa Bay,Pinellas County,2010,,,
1274,Alligator Creek Channel B Phase II,Old Tampa Bay,Pinellas County,2008,,,
1279,City-Wide Reclaimed Water Service,Old Tampa Bay,City of Clearwater,2011,,,
1282,Acceptance of City of Plant City Reclaimed Water at CF Industries-Plant City Facility,Hillsborough Bay,Mosaic,2008,,15257.6,
1283,Bartow Operations Effluent Treatment Wetland System,Hillsborough Bay,Mosaic,2011,86.9,880,63071
1293,City of Tampa Interactive Watershed Atlas,Hillsborough Bay,City of Tampa,2007,,,
1295,North Boulevard Siphon Rehabilitation Project,Hillsborough Bay,City of Tampa,2009,,,
1296,12th Street Forcemain Replacement,Hillsborough Bay,City of Tampa,2009,,,
1298,W.E. Dunn BNR Optimization,Old Tampa Bay,Pinellas County,2009,,,
1299,South Cross Bayou Phosphorous Reduction Plan,Boca Ciega Bay,Pinellas County,2010,15539.9,,
1304,Annual Street Sweeping Maintenance BMP,Old Tampa Bay,City of Tampa,2012,,,
1305,Street Sweeping - Middle Tampa Bay,Middle Tampa Bay,City of St. Petersburg,2007,,500,
1307,Street Sweeping - Boca Ciega Bay,Boca Ciega Bay,City of St. Petersburg,2012,,345,
1309,Street Sweeping - Old Tampa Bay,Old Tampa Bay,City of St. Petersburg,2012,,136,
1311,Pinellas County Fertilizer Ordinance,Old Tampa Bay,Pinellas County,2010,,,
1312,Manatee County Fertilizer Ordinance,Lower Tampa Bay,Manatee County,2011,,,
1313,Street Sweeping - Hillsborough County Total,Old Tampa Bay,Hillsborough County,2012,,1958,
1314,Street Sweeping - City of Plant City,Hillsborough Bay,City of Plant City,2012,,434.6,
1317,Street Sweeping in Alafia River Basin,Hillsborough Bay,FDOT,2013,,,
1326,SWIM Phase 3 Ecosystem Restoration,Middle Tampa Bay,MacDill Air Force Base,2013,192.9,965.9,123070
1327,Itchepackesassa Creek Wetland Treatment Project,Hillsborough Bay,Polk County,2013,6528,3760,69850
1365,Bridgeway Acres Pond A Dredging,Boca Ciega Bay,Pinellas County,2016,,,
1366,SHARP,Hillsborough Bay,Hillsborough County,2016,2355.5,17096.4,
1370,Street Sweeping,Old Tampa Bay,City of Safety Harbor,2015,,,
1371,Street Sweeping,Old Tampa Bay,City of Safety Harbor,2016,,,
1372,Street Sweeping,Old Tampa Bay,Pinellas County,2012,,,
1374,Street Sweeping,Middle Tampa Bay,Pinellas County,2012,,,
1375,Street Sweeping,Boca Ciega Bay,Pinellas County,2012,,,
1376,Stormwater Catch Basin Cleanouts,Old Tampa Bay,Pinellas County,2012,,,
1377,Stormwater Catch Basin Cleanouts,Middle Tampa Bay,Pinellas County,2012,,,
1378,Stormwater Catch Basin Cleanouts,Boca Ciega Bay,Pinellas County,2012,,,
1379,Street Sweeping Improved,Old Tampa Bay,Pinellas County,2017,,,
1380,Street Sweeping Improved,Middle Tampa Bay,Pinellas County,2017,,,
1381,Street Sweeping Improved,Boca Ciega Bay,Pinellas County,2017,,,
