HeaderID,Project_Name,Bay_Segment,Lead_Entity,Completion_Date,TP_Reduction_lbs_yr,TN_Reduction_lbs_yr,TSS_Reduction_lbs_yr,ProjectName,OngoingInitiation,DiscontinuedDate,CompletionDate,ActualProjectCost,FundingSource,ProjectDescriptionText,NonPointProject,PointProject,ProjectLatitude,ProjectLongitude
467,Moccasin Lake Park Restoration,Old Tampa Bay,City of Clearwater,2001,NA,NA,NA,Moccasin Lake Park Restoration,0,0,2001,"$460,000.00",NA,NA,1,0,28.012172,-82.609611
477,High Ridge Estates,Old Tampa Bay,Pinellas County,1992,26.5,87.2,2837,High Ridge Estates,0,0,1992,NA,NA,NA,1,0,28.012172,-82.609611
479,McMullen Booth Road @ Curlew Road,Old Tampa Bay,Pinellas County,2003,NA,NA,NA,McMullen Booth Road @ Curlew Road,0,0,2003,NA,NA,Designed to provide flood storage and water quality treatment to this section of drainage to Possum Branch.  Rerouted flow from this 155 acre mostly untreated residential area into a created 16 acre multi-level wetland area.,0,0,28.03999767,-82.71020925
482,Alligator Lake/Ruth Eckerd Wetland Creation,Old Tampa Bay,City of Clearwater,2008,12.3,58.1,2837,Alligator Lake/Ruth Eckerd Wetland Creation,2004,0,2008,"$1,400,000.00",NULL,"Approx. 15 acre exotic removal and wetland 
creation on property located behind Ruth 
Eckerd Hall. 2003 Update-in design, treatment 
size not determined.",1,1,27.976967,-82.703099
484,Mobbly Bayou Wilderness Preserve Restoration,Old Tampa Bay,Pinellas County,2009,NA,NA,NA,Mobbly Bayou Wilderness Preserve Restoration,2009,0,2009,"$2,140,839.00",Penny for Pinellas,"Project involves survey, design, permitting and 
construction for comprehensive estuarine 
habitat restoration for Mobbly Bayou.   Project 
location: 28 01 29 Nlat; 82 39 29 Wlong.",1,1,28.012172,-82.609611
485,St. Paul's Drive Restoration,Old Tampa Bay,Pinellas County,1997,NA,NA,NA,St. Paul's Drive Restoration,0,0,1997,NA,SWFWMD constructed,2 acre habitat creation completed in 1997.,0,0,28.012172,-82.609611
487,Hillsborough Heights project,Hillsborough Bay,Hillsborough County,2003,NA,NA,NA,Hillsborough Heights project,0,0,2003,"$145,000.00","U.S. Dept. of Energy, TECO","2003 update-TECO microturbine worked at one point, but is currently off-line awaiting repairs.",0,0,28.019236,-82.21548
488,Lower Bullfrog Creek - habitat restoration,Hillsborough Bay,SWFWMD,2001,NA,NA,NA,Lower Bullfrog Creek - habitat restoration,0,0,2001,"$571,351.00",NA,NA,0,0,28.019236,-82.21548
491,Wolf Branch Creek #1 - habitat creation (Phases I & II),Hillsborough Bay,SWFWMD,2003,NA,NA,NA,Wolf Branch Creek #1 - habitat creation (Phases I & II),0,0,2003,"$4,019,480.00","NOAA, Gardinier, USF&WS",NA,0,0,28.019236,-82.21548
492,Fort Brooke/Cotanchobee Park Shoreline - habitat restoration,Hillsborough Bay,SWFWMD,2002,NA,NA,NA,Fort Brooke/Cotanchobee Park Shoreline - habitat restoration,0,0,2002,"$272,625.00",NA,"Removal of a dock, regrading shoreline, planting native wetlands, transitional and upland vegettion.",0,0,28.019236,-82.21548
494,Antibiotic Resistance Analysis (Fingerprinting),Hillsborough Bay,Hillsborough County,2003,NA,NA,NA,Antibiotic Resistance Analysis (Fingerprinting),0,0,2003,NA,NA,NA,0,0,28.019236,-82.21548
496,McKay Bay Watershed Projects,Hillsborough Bay,Hillsborough County,2006,NA,NA,NA,McKay Bay Watershed Projects,0,0,2006,NA,NULL,Multiple projects.,1,1,27.936119,-82.423841
497,Manatee Protection Zones,Lower Tampa Bay,Manatee County,2004,NA,NA,NA,Manatee Protection Zones,0,0,2004,NA,ad valorum,NA,0,0,27.59344,-82.675961
505,Largo Regional Stormwater Treatment Facility Educational Boardwalk System,Old Tampa Bay,SWFWMD,2002,NA,NA,NA,Largo Regional Stormwater Treatment Facility Educational Boardwalk System,0,0,2002,"$782,101.00",NA,"Construction of 3,720 L.F. of interpretative boardwalk, educational signage, floating dock and observation tower.",0,0,28.012172,-82.609611
506,South Green Springs Phase Two Stormwater Retrofit Project,Old Tampa Bay,SWFWMD,2002,NA,163.8,NA,South Green Springs Phase Two Stormwater Retrofit Project,0,0,2002,"$766,172.00",NA,Retrofit of approx. 38 acres of residential land within City of Safety Harbor prior to dischage into Alligator Lake.,1,0,28.012172,-82.609611
508,Largo Stormwater Retrofit - CDS Units,Old Tampa Bay,SWFWMD,2002,NA,63.1,NA,Largo Stormwater Retrofit - CDS Units,0,0,2002,"$209,301.00",City of Largo,Installation of a continuous deflective separation (CDS) at 5th Avenue North and Bel-Aire Mobile Home Park.,1,0,28.012172,-82.609611
509,Lake Tomlinson Restoration,Middle Tampa Bay,SWFWMD,2002,NA,NA,NA,Lake Tomlinson Restoration,0,0,2002,"$389,511.00",City of Gulfport,Approx. 115-acres drain to the pond which discharges to Boca Ciega Bay.,1,0,27.662673,-82.215645
510,St. Petersburg Retrofit - CDS Units (storage yard under 1-275),Middle Tampa Bay,SWFWMD,2002,NA,4.7,NA,St. Petersburg Retrofit - CDS Units (storage yard under 1-275),0,0,2002,"$109,301.00",NA,"Re-routing of existing drainage lines, construction of new inlets to isolate leachate and wash-down flows and the installation of a stormwater filtration unit.",1,0,27.662673,-82.215645
511,Bishop Creek Streambank Protection,Old Tampa Bay,SWFWMD,2002,1.1,3.3,63,Bishop Creek Streambank Protection,2002,0,2002,"$510,000.00",NA,Design and construction of a 4.5 acre stormwater management system to provide water quality treatment and downstream flow attenuation.,1,0,28.012172,-82.609611
512,"Howard Frankland Habitat Restoration ""Gateway""",Old Tampa Bay,SWFWMD,2004,NA,NA,NA,"Howard Frankland Habitat Restoration ""Gateway""",0,0,2004,"$2,931,676.00",NA,Restoration of approx. 105 acres along portions of I-275 near the Howard Frankland Bridge.,0,0,27.88371021,-82.66328692
514,South Tampa Greenway/Tappan Habitat Restoration Site,Hillsborough Bay,SWFWMD,2004,NA,NA,NA,South Tampa Greenway/Tappan Habitat Restoration Site,0,0,2004,"$492,861.00",FDOT mitigation funds,"City of Tampa purchased land for inclusion within the Tampa Bay Greenway, to restore lost wetland habitat and to provide educational opportunities for public awareness.",0,0,27.86109007,-82.53022555
534,Palm River Restoration,Hillsborough Bay,SWFWMD,2005,NA,NA,NA,Palm River Restoration,2003,0,2005,"$4,400,000.00",NULL,Activities may include regrading of seciton of shoreline ad filling deep portions of river w/spoil material.,1,1,27.949071,-82.385384
535,Schultz Nature Park,Hillsborough Bay,SWFWMD,2004,NA,NA,NA,Schultz Nature Park,0,0,2004,NA,NA,"Schultz Nature Preserve part of SWFWMDs Port Redwing ""Kitchen"" project.",0,0,28.019236,-82.21548
538,Monitoring Gopher Tortoise Relocation,Hillsborough Bay,Pinellas County,2004,NA,NA,NA,Monitoring Gopher Tortoise Relocation,2001,0,2004,"$70,825.00","Pin.Co.Env.Lands-$46,825","Pinellas County environmental managers will study the movements, activities and physiological responses of recently translocated gopher tortoises.",0,0,28.019236,-82.21548
545,Alligator Lake Restoration,Old Tampa Bay,Pinellas County,2011,NA,NA,NA,Alligator Lake Restoration,2007,0,2011,NA,Penny for Pinellas,"Project involves survey, design, permitting and construction for eleven acres wetland creation and habitat improvement project with associated park",1,1,28.012172,-82.609611
601,Broadway Outfall Stormwater Retrofit Project,Hillsborough Bay,SWFWMD,2001,NA,139,NA,Broadway Outfall Stormwater Retrofit Project,1999,0,2001,"$1,390,262.00",NULL,"Retrofit an approximately 132.4 acre drainage basin.  The project consists of a CDS unit in series with an excavated sediment sump immediately downstream, followed by a linear marsh system.",1,1,28.02665,-82.391748
617,Install and monitor curb inlet protectors,Hillsborough Bay,TBEP,2000,NA,NA,NA,Install and monitor curb inlet protectors,1999,0,2000,"$5,000.00",Hills. Co. Stormwater Mgmt. and East Lake Civic Assoc.,"Install and monitor curb inlet protectors to capture grass clippings, trash, sidement and prevent them from entering storm draims that empty into East Lake.",0,0,28.019236,-82.21548
679,City of Largo Reclaimed Water (Reuse),Old Tampa Bay,City of Largo,1997,NA,58592.7,NA,City of Largo Reclaimed Water (Reuse),0,0,1997,$0.00,NA,City of Largo (From Report) - Spoke to Brian Dean of the City of Largo Plant.  He said that the plant capacity did increase to 18 MGD (1997).  Reclaimed water (reuse) is hoped to be at 70% by 2005 and 90 % by 2010.  No changes in nutrient loading.,0,1,28.012172,-82.609611
683,Dale Mabry Reclaimed,Hillsborough Bay,Hillsborough County,1995,NA,10946.2,NA,Dale Mabry Reclaimed,0,0,1995,$0.00,NA,Minimize discharge of effluent by re-use of water through reclaimed water system.,1,1,28.068939,-82.527091
684,Van Dyke Reclaimed,Hillsborough Bay,Hillsborough County,1995,NA,3052.7,NA,Van Dyke Reclaimed,0,0,1995,$0.00,NA,Minimize discharge of effluent by re-use of water through reclaimed water system.,1,1,28.14314,-82.546069
685,Northwest and River Oaks Reclaimed,Hillsborough Bay,Hillsborough County,1995,NA,6472,NA,Northwest and River Oaks Reclaimed,0,0,1995,$0.00,NA,Minimize discharge of effluent by re-use of water through reclaimed water system.,1,1,28.084615,-82.605692
686,Falkenburg & Valrico Reclaimed,Hillsborough Bay,Hillsborough County,1995,NA,12186.6,NA,Falkenburg & Valrico Reclaimed,0,0,1995,$0.00,NA,Minimize discharge of effluent by re-use of water through reclaimed water system.,1,1,27.952572,-82.335168
687,South County Reuse System,Hillsborough Bay,Hillsborough County,1995,NA,35451,NA,South County Reuse System,0,0,1995,$0.00,NA,Minimize discharge of effluent by re-use of water through reclaimed water system.,1,1,27.723974,-82.385701
692,McKay Bay Refuse-to-Energy Retrofit Project,All Segments,City of Tampa,2001,NA,NA,NA,McKay Bay Refuse-to-Energy Retrofit Project,0,0,2001,"$89,000,000.00",NA,Retrofit of existing plant under EPA's Emission Guidelines.,0,0,27.79,-82.442
695,Booker Lake Alum Treatment Facility,Middle Tampa Bay,City of St. Petersburg,2009,204.1,522.9,21886,Booker Lake Alum Treatment Facility,2005,0,2009,"$1,000,000.00",SWFWMD grant monies - DEP section 319,An alum treatment system to inject alum into 2 large canals entering Booker Lake.,1,1,27.662673,-82.215645
696,McKay Bay-East Shore Commerce Park Parcel Stormwater Retrofit,Hillsborough Bay,SWFWMD,2006,842.4,2296.4,250784,McKay Bay-East Shore Commerce Park Parcel Stormwater Retrofit,2000,0,2006,"$1,472,883.00",NULL,A treatment train of a wet detention pond and constructed wetlands.,1,1,27.962889,-82.347508
709,Brownfields Assessment Demonstration Project,Hillsborough Bay,Hillsborough County,2005,NA,NA,NA,Brownfields Assessment Demonstration Project,0,0,2005,$0.00,grant,Not sure if project is in watershed.,0,0,28.019236,-82.21548
711,MiraBay Property,Hillsborough Bay,Hillsborough County,1999,NA,1340.5,NA,MiraBay Property,0,0,1999,$0.00,NULL,MiraBay aka Biscayne Canal was dredged in the 1960s as part of the Apollo Beach development then bought by Terrabrook in the late 90's for revitzlization.,1,1,27.748674,-82.429575
712,Balm Road Wetland and Stormwater Treatment Facility,Hillsborough Bay,Hillsborough County,2004,385,910.3,8828,Balm Road Wetland and Stormwater Treatment Facility,2003,0,2004,"$1,500,000.00",NULL,"This 29 acre wetland creation is designed to filter agricultural runoff from approx. 1,100 acres that flows into Bullfrog Creek.",1,1,27.744119,-82.290208
713,Stormwater Research Facility at 132nd and Taliaferro,Hillsborough Bay,Hillsborough County,2002,8.2,26.9,1457,Stormwater Research Facility at 132nd and Taliaferro,0,0,2002,"$250,000.00",NA,Created a series of 5 stormwater treatment ponds on the property. Site is located in the Curiosity Creek watershed which compromises the Hills. River watershed.,1,1,28.066534,-82.453662
719,Alafia Banks Restoration Settling Pond,Hillsborough Bay,Mosaic,2011,15.5,61.1,1407,Alafia Banks Restoration Settling Pond,0,0,2011,"$200,000.00",NULL,Alafia Bank Bird Sanctuary Restoration Project - 50-Acre Settling Pond,1,1,27.863575,-82.385047
742,McIntosh Park Water Quality/Wetland Enhancement,Hillsborough Bay,SWFWMD,2009,NA,2763,NA,McIntosh Park Water Quality/Wetland Enhancement,2002,0,2009,"$3,824,564.00",FDEP - 319(h) grant,wetland creation and enhanced stormwater treatment using alum.,1,1,28.071189,-82.129162
745,8th Biennial Conference of Stormwater Research & Watershed Management,All Segments,SWFWMD,2004,NA,NA,NA,8th Biennial Conference of Stormwater Research & Watershed Management,0,0,2004,$0.00,NA,Conference addressing stormwater and BMP's,0,0,27.86714745,-82.35780285
746,Conference on Ecosystems Restoration & Creation,All Segments,TBEP,2004,NA,NA,NA,Conference on Ecosystems Restoration & Creation,0,0,2004,$0.00,NA,Conference sponsored by Hills. Community College,0,0,27.86714745,-82.35780285
749,Volunteer Hands-On Restoration Projects,All Segments,TBEP,2003,NA,NA,NA,Volunteer Hands-On Restoration Projects 2003,0,0,2003,$0.00,NA,Hands-on volunteer projects held by Tampa BayWatch.,0,0,27.86714745,-82.35780285
750,Activities and Accomplishments,All Segments,TBEP,2002,NA,NA,NA,Activities and Accomplishments in 2002,0,0,2002,$0.00,NA,"Activities and accomplishments by Audubon of Florida in 2002. Many outreach activities; fishing line clean up, oyster bar creation and cordgrass planting.",0,0,27.86714745,-82.35780285
754,Oceanography Camp,All Segments,TBEP,2007,NA,NA,NA,Oceanography Camp,0,0,2007,$0.00,NULL,A three-week camp for Pinellas County girls who have completed 8th grade designed to imspire and motivate young women to consider a career in science.,1,1,27.86714745,-82.35780285
761,Repowering Gannon Power Plant - Bayside Facility,Old Tampa Bay,TECO,2003,NA,3877,NA,Repowering Gannon Power Plant - Bayside Facility,0,0,2003,$0.00,NA,"Reduction calculations for TECO repowering the Gannon Power Plant (renamed the Bayside Facility).  Completed in 2003.  Conversion of coal-fired plant to natural gas, with approximately 95% reduction in NOx emissions.",1,0,28.012172,-82.609611
762,Repowering Gannon Power Plant - Bayside Facility,Hillsborough Bay,TECO,2003,NA,2592,NA,Repowering Gannon Power Plant - Bayside Facility,0,0,2003,$0.00,NA,"Reduction calculations for TECO repowering the Gannon Power Plant (renamed the Bayside Facility).  Completed in 2003.  Conversion of coal-fired plant to natural gas, with approximately 95% reduction in NOx emissions.",1,0,28.019236,-82.21548
763,Repowering Gannon Power Plant - Bayside Facility,Hillsborough Bay,TECO,2003,NA,4137,NA,Repowering Gannon Power Plant - Bayside Facility,0,0,2003,$0.00,NA,"Reduction calculations for TECO repowering the Gannon Power Plant (renamed the Bayside Facility).  Completed in 2003.  Conversion of coal-fired plant to natural gas, with approximately 95% reduction in NOx emissions.",1,0,28.019236,-82.21548
764,Repowering Gannon Power Plant - Bayside Facility,Hillsborough Bay,TECO,2003,NA,882,NA,Repowering Gannon Power Plant - Bayside Facility,0,0,2003,$0.00,NA,"Reduction calculations for TECO repowering the Gannon Power Plant (renamed the Bayside Facility).  Completed in 2003.  Conversion of coal-fired plant to natural gas, with approximately 95% reduction in NOx emissions.",1,0,28.019236,-82.21548
765,Repowering Gannon Power Plant - Bayside Facility,Hillsborough Bay,TECO,2003,NA,3588,NA,Repowering Gannon Power Plant - Bayside Facility,0,0,2003,$0.00,NA,"Reduction calculations for TECO repowering the Gannon Power Plant (renamed the Bayside Facility).  Completed in 2003.  Conversion of coal-fired plant to natural gas, with approximately 95% reduction in NOx emissions.",1,0,28.019236,-82.21548
766,Repowering Gannon Power Plant - Bayside Facility,Hillsborough Bay,TECO,2003,NA,1189,NA,Repowering Gannon Power Plant - Bayside Facility,0,0,2003,$0.00,NA,"Reduction calculations for TECO repowering the Gannon Power Plant (renamed the Bayside Facility).  Completed in 2003.  Conversion of coal-fired plant to natural gas, with approximately 95% reduction in NOx emissions.",1,0,28.019236,-82.21548
767,Repowering Gannon Power Plant - Bayside Facility,Lower Tampa Bay,TECO,2003,NA,2915,NA,Repowering Gannon Power Plant - Bayside Facility,0,0,2003,$0.00,NA,"Reduction calculations for TECO repowering the Gannon Power Plant (renamed the Bayside Facility).  Completed in 2003.  Conversion of coal-fired plant to natural gas, with approximately 95% reduction in NOx emissions.",1,0,27.59344,-82.675961
768,Repowering Gannon Power Plant - Bayside Facility,Hillsborough Bay,TECO,2003,NA,70,NA,Repowering Gannon Power Plant - Bayside Facility,0,0,2003,$0.00,NA,"Reduction calculations for TECO repowering the Gannon Power Plant (renamed the Bayside Facility).  Completed in 2003.  Conversion of coal-fired plant to natural gas, with approximately 95% reduction in NOx emissions.",1,0,28.019236,-82.21548
771,Big Bend Power Plant improvements,Old Tampa Bay,TECO,2004,NA,942,NA,Big Bend Power Plant improvements,0,0,2004,$0.00,NA,"Big Bend Power Plant improvents include the use of a flue gas desulfurization (FGD) system or scrubber which removes sulfur dioxide produced when coal is burned in Units One, Two, Three, Four.",1,0,28.012172,-82.609611
772,Big Bend Power Plant improvements,Hillsborough Bay,TECO,2004,NA,630,NA,Big Bend Power Plant improvements,0,0,2004,$0.00,NA,"Big Bend Power Plant improvents include the use of a flue gas desulfurization (FGD) system or scrubber which removes sulfur dioxide produced when coal is burned in Units One, Two, Three, Four.",1,0,28.019236,-82.21548
773,Big Bend Power Plant improvements,Hillsborough Bay,TECO,2004,NA,1006,NA,Big Bend Power Plant improvements,0,0,2004,$0.00,NA,"Big Bend Power Plant improvents include the use of a flue gas desulfurization (FGD) system or scrubber which removes sulfur dioxide produced when coal is burned in Units One, Two, Three, Four.",1,0,28.019236,-82.21548
774,Big Bend Power Plant improvements,Hillsborough Bay,TECO,2004,NA,214,NA,Big Bend Power Plant improvements,0,0,2004,$0.00,NA,"Big Bend Power Plant improvents include the use of a flue gas desulfurization (FGD) system or scrubber which removes sulfur dioxide produced when coal is burned in Units One, Two, Three, Four.",1,0,28.019236,-82.21548
775,Big Bend Power Plant improvements,Hillsborough Bay,TECO,2004,NA,872,NA,Big Bend Power Plant improvements,0,0,2004,$0.00,NA,"Big Bend Power Plant improvents include the use of a flue gas desulfurization (FGD) system or scrubber which removes sulfur dioxide produced when coal is burned in Units One, Two, Three, Four.",1,0,28.019236,-82.21548
776,Big Bend Power Plant improvements,Middle Tampa Bay,TECO,2004,NA,289,NA,Big Bend Power Plant improvements,0,0,2004,$0.00,NA,"Big Bend Power Plant improvents include the use of a flue gas desulfurization (FGD) system or scrubber which removes sulfur dioxide produced when coal is burned in Units One, Two, Three, Four.",1,0,27.662673,-82.215645
777,Big Bend Power Plant improvements,Lower Tampa Bay,TECO,2004,NA,709,NA,Big Bend Power Plant improvements,0,0,2004,$0.00,NA,"Big Bend Power Plant improvents include the use of a flue gas desulfurization (FGD) system or scrubber which removes sulfur dioxide produced when coal is burned in Units One, Two, Three, Four.",1,0,27.59344,-82.675961
781,Big Bend Power Plant improvements,Old Tampa Bay,TECO,2005,NA,2507,NA,Big Bend Power Plant improvements,0,0,2005,$0.00,NA,"Big Bend Power Plant improvents include the use of a flue gas desulfurization (FGD) system or scrubber which removes sulfur dioxide produced when coal is burned in Units One, Two, Three, Four.",1,0,28.012172,-82.609611
782,Big Bend Power Plant improvements,Hillsborough Bay,TECO,2005,NA,1677,NA,Big Bend Power Plant improvements,0,0,2005,$0.00,NA,"Big Bend Power Plant improvents include the use of a flue gas desulfurization (FGD) system or scrubber which removes sulfur dioxide produced when coal is burned in Units One, Two, Three, Four.",1,0,28.019236,-82.21548
783,Big Bend Power Plant improvements,Hillsborough Bay,TECO,2005,NA,2676,NA,Big Bend Power Plant improvements,0,0,2005,$0.00,NA,"Big Bend Power Plant improvents include the use of a flue gas desulfurization (FGD) system or scrubber which removes sulfur dioxide produced when coal is burned in Units One, Two, Three, Four.",1,0,28.019236,-82.21548
784,Big Bend Power Plant improvements,Hillsborough Bay,TECO,2005,NA,570,NA,Big Bend Power Plant improvements,0,0,2005,$0.00,NA,"Big Bend Power Plant improvents include the use of a flue gas desulfurization (FGD) system or scrubber which removes sulfur dioxide produced when coal is burned in Units One, Two, Three, Four.",1,0,28.019236,-82.21548
786,Big Bend Power Plant improvements,Middle Tampa Bay,TECO,2005,NA,769,NA,Big Bend Power Plant improvements,0,0,2005,$0.00,NA,"Big Bend Power Plant improvents include the use of a flue gas desulfurization (FGD) system or scrubber which removes sulfur dioxide produced when coal is burned in Units One, Two, Three, Four.",1,0,27.662673,-82.215645
787,Big Bend Power Plant improvements,Lower Tampa Bay,TECO,2005,NA,1886,NA,Big Bend Power Plant improvements,0,0,2005,$0.00,NA,"Big Bend Power Plant improvents include the use of a flue gas desulfurization (FGD) system or scrubber which removes sulfur dioxide produced when coal is burned in Units One, Two, Three, Four.",1,0,27.59344,-82.675961
791,Hookers Point facility - shut down,Old Tampa Bay,TECO,2002,NA,81,NA,Hookers Point facility - shut down,0,0,2002,$0.00,NA,Reductions calculated due to shut down of facility - based on calculations for Big Bend and Gannon plants.,1,0,28.012172,-82.609611
792,Hookers Point facility - shut down,Hillsborough Bay,TECO,2002,NA,54,NA,Hookers Point facility - shut down,0,0,2002,$0.00,NA,Reductions calculated due to shut down of facility - based on calculations for Big Bend and Gannon plants.,1,0,28.019236,-82.21548
793,Hookers Point facility - shut down,Hillsborough Bay,TECO,2002,NA,85,NA,Hookers Point facility - shut down,0,0,2002,$0.00,NA,Reductions calculated due to shut down of facility - based on calculations for Big Bend and Gannon plants.,1,0,28.019236,-82.21548
794,Hookers Point facility - shut down,Hillsborough Bay,TECO,2002,NA,18,NA,Hookers Point facility - shut down,0,0,2002,$0.00,NA,Reductions calculated due to shut down of facility - based on calculations for Big Bend and Gannon plants.,1,0,28.019236,-82.21548
796,Hookers Point facility - shut down,Middle Tampa Bay,TECO,2002,NA,25,NA,Hookers Point facility - shut down,0,0,2002,$0.00,NA,Reductions calculated due to shut down of facility - based on calculations for Big Bend and Gannon plants.,1,0,27.662673,-82.215645
797,Hookers Point facility - shut down,Lower Tampa Bay,TECO,2002,NA,60,NA,Hookers Point facility - shut down,0,0,2002,$0.00,NA,Reductions calculated due to shut down of facility - based on calculations for Big Bend and Gannon plants.,1,0,27.59344,-82.675961
802,Booker Lake Regional Stormwater Treatment Facility,Middle Tampa Bay,SWFWMD,2011,NA,NA,NA,Booker Lake Regional Stormwater Treatment Facility,2005,0,2011,$0.00,ad valorum,Design and construction of a chemical treatment system using aluminum sulfate (alum) to treat stormwater inflows entering Booker Lake. See Project #695 for actual reductions.,1,1,27.784186,-82.662602
804,FDOT 56th Street Retrofit,Hillsborough Bay,SWFWMD,2003,NA,NA,NA,FDOT 56th Street Retrofit,0,0,2003,$0.00,NA,NULL,1,1,28.025438,-82.393401
805,Gibsonton on the Bay,Hillsborough Bay,SWFWMD,2005,NA,NA,NA,Gibsonton on the Bay,0,0,2005,"$806,247.00",NA,"Project involves design and construction of a drainage system and installation of CDS, Stormceptor or baffle box to enhance water quality.",1,1,28.019236,-82.21548
808,McKay Bay - Melbourne Pond SW,Hillsborough Bay,SWFWMD,2006,133.2,531,18025,McKay Bay - Melbourne Pond SW,0,0,2006,"$977,726.00","also ERF grant for $180,000",Project objective is to retrofit the existing borrow pit to improve stormwater runoff discharging into McKay Bay.,1,1,27.975039,-82.40983
809,Pond 56,Hillsborough Bay,SWFWMD,1998,NA,NA,NA,Pond 56,0,0,1998,$0.00,NA,NA,1,0,28.019236,-82.21548
810,River Hills Drive Outfall No. 1,Hillsborough Bay,SWFWMD,2005,NA,NA,NA,River Hills Drive Outfall No. 1,2004,0,2005,$0.00,NULL,NULL,1,1,28.023494,-82.400513
811,River Hills Drive Outfall No.2,Hillsborough Bay,SWFWMD,2005,NA,NA,NA,River Hills Drive Outfall No.2,2004,0,2005,$0.00,NULL,NULL,1,1,28.023494,-82.400513
812,South Glen Arven Outfalls SW retrofit,Hillsborough Bay,SWFWMD,2004,NA,NA,NA,South Glen Arven Outfalls SW retrofit,2003,0,2004,$0.00,NULL,NULL,1,1,28.019724,-82.382928
814,Sumner Road,Hillsborough Bay,SWFWMD,2002,NA,NA,NA,Sumner Road,0,0,2002,$0.00,NULL,NULL,1,1,27.752228,-82.335362
826,South MacDill 48 Property Acquisition,Hillsborough Bay,City of Tampa,2002,NA,NA,NA,South MacDill 48 Property Acquisition,0,0,2002,"$7,866,000.00",NA,2003 update.  A 48 acre tract of land slated for multifamily residentail development.,0,0,28.019236,-82.21548
827,River Tower Park Site Acquisition,Hillsborough Bay,City of Tampa,2002,NA,NA,NA,River Tower Park Site Acquisition,0,0,2002,"$285,000.00",NA,12.82 acres along Hills. River.  Site will be developed into a passive park with habitat and shoreline restoration.,1,1,28.021363,-82.457406
828,Cypress Point Park Restoration,Hillsborough Bay,City of Tampa,2004,NA,NA,NA,Cypress Point Park Restoration,0,0,2004,"$250,000.00",CIT,"50 acre landfill site slated for commercial development. Acquired to be used as preserve, park and public beach.",0,0,28.019236,-82.21548
829,Ballast Point Shoreline Restoration,Hillsborough Bay,City of Tampa,2004,NA,NA,NA,Ballast Point Shoreline Restoration,0,0,2004,"$105,000.00",NA,"Ballast Point Park contained a hardened shoreline with walls, rip-rap and little or no habitat plant material. The restoration effort focused on reducing the hardness of the water-shore interface, removing exotics, wetland planting: 3.6 acres of shoreline",0,0,28.019236,-82.21548
841,Margorie Park Marina Spill Prevention,Hillsborough Bay,City of Tampa,2005,NA,NA,NA,Margorie Park Marina Spill Prevention,0,0,2005,$0.00,NA,As part of FDEPs fuel dispensing permit Parks and Recs. Staff had to undergo 4 hours of first responder training for petroleum based products.,0,0,28.019236,-82.21548
842,Mosaic Riverview Closed Stack Lined Surge Ponds,Hillsborough Bay,Mosaic,2004,NA,3400,NA,Mosaic Riverview Closed Stack Lined Surge Ponds,0,0,2004,$0.00,NULL,"The lined ponds have reduced seepage from the 
closed stack such that surface water discharge at 
permitted outfall 024 has not occurred in 2004 and 
is not anticipated to occur during normal operations",1,1,27.863575,-82.385047
843,Mosaic Riverview -  Modifications to Outfall Automation and Monitoring,Hillsborough Bay,Mosaic,2003,NA,20,0,"Mosaic Riverview, Modifications to Outfall Automation and Monitoring",0,0,2003,$0.00,NULL,"Installation of a complex, automated system at the 
facility's main stormwater outfall (005) including 
redundant pH meters interlocked to shut down 
discharge in the event of excursions or elevated 
nutrient loads.",1,1,27.863575,-82.385047
844,Mosaic Riverview -  Enhanced Housekeeping and Street Sweeping,Hillsborough Bay,Mosaic,2004,NA,40,0,"Mosaic Riverview, Enhanced Housekeeping and Street Sweeping",0,0,2004,$0.00,NULL,"Implementation of a regular street sweeping 
program at the facility and housekeeping rounds by 
plant personnel. The goal of these programs is to 
reduce in-plant spillage and recover as much 
fertilizer spillage as possible prior to affecting 
surf",1,1,27.863575,-82.385047
845,Mosaic Riverview -  Improved drainage in Phosphoric Acid Production Areas,Hillsborough Bay,Mosaic,2005,NA,20,0,"Mosaic Riverview, Improved drainage in Phosphoric Acid Production Areas",2005,0,2005,$0.00,NULL,"Implemented changes to stormwater routing within 
the facility to minimize/eliminate runoff from 
Phosphoric Acid production areas resulting in lower 
nutrient loading to the stormwater system and 
surface water discharge.",1,1,27.863575,-82.385047
847,Mosaic Mulberry -  Transfer of Mulberry Phosphates process water,Hillsborough Bay,Mosaic,2005,NA,NA,0,"Mosaic Mulberry, Transfer of Mulberry Phosphates process water",0,0,2005,$0.00,NULL,"Implemented the transfer process water from the 
Mulberry Facility to the Bartow Facility to 
discharge into the Peace River Basin rather than 
the Alafia River.",1,1,27.89402,-81.973124
848,Bartow Phosphate Complex -  Enhanced Process Water Evaporation -  Nutrient Load Prevention Project-2001,Hillsborough Bay,Mosaic,2001,NA,12280,0,"Bartow Phosphate Complex, Enhanced Process Water Evaporation, Nutrient Load Prevention Project-2001",0,0,2001,"$400,000.00",NULL,"Development and implementation of large scale 
treated and untreated process water 
evaporation systems to reduce surface water 
discharge loadings through closure.",1,1,27.866425,-81.928348
